,title,link,location
40,Presales Data Architect (North East),https://www.indeed.com/rc/clk?jk=d1d7c9a1312fc3ef&fccid=8ba5759a04b37d93&vjs=3,"New York, NY"
41,Data Scientist,https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3,"New York, NY"
42,"Full Stack Software Engineer (PHP/Python)- Watertown, MA or...",https://www.indeed.com/rc/clk?jk=9e9e38e8370e6f86&fccid=4f7cefeb56d1c5b0&vjs=3,"Poughkeepsie, NY 12601"
43,Early Careers | Financial Modeling & Research | New York,https://www.indeed.com/rc/clk?jk=dc9e838824bcc388&fccid=16a97ed26c75bf2d&vjs=3,"New York, NY"
44,"Analyst, CFR [HSF]",https://www.indeed.com/rc/clk?jk=f1ec8f3eb7d6524b&fccid=f057e04c37cca134&vjs=3,"New York, NY"
45,Python Engineer,https://www.indeed.com/rc/clk?jk=88d41b4bb4a9cf00&fccid=9ace5aa4e4fa6ce2&vjs=3,"New York, NY"
46,Sr. BI Developer,https://www.indeed.com/rc/clk?jk=6eed453a7000171c&fccid=4b841d912d46e4fd&vjs=3,"New York, NY 10006 (Financial District area)"
47,INTERNSHIP - Index Trading,https://www.indeed.com/rc/clk?jk=dfd3274c4096b9bc&fccid=df6948c9b8da6236&vjs=3,"New York, NY"
48,Students - Equity Trading Desk Internship Summer 2019,https://www.indeed.com/rc/clk?jk=7649cd45d0afd8f0&fccid=7d204885a50ad05e&vjs=3,"New York, NY"
49,"Analyst, Advanced Analytics",https://www.indeed.com/rc/clk?jk=d00cd256b2e2838e&fccid=f2c8db2d75b00437&vjs=3,"New York, NY"
50,"Quantitative Researcher, Electronic Trading",https://www.indeed.com/rc/clk?jk=6c74eb17877f6ff9&fccid=9db25778e3ea9b73&vjs=3,"New York, NY"
51,Intern - Engineering (Data),https://www.indeed.com/rc/clk?jk=c12abeff93eef71c&fccid=212918c290ce6cf0&vjs=3,New York State
52,Algorithmic Quant Researcher - Analyst,https://www.indeed.com/rc/clk?jk=621e6b236fbc8fc4&fccid=f1d8e147024abb3f&vjs=3,"New York, NY"
53,Scientific Programmer,https://www.indeed.com/rc/clk?jk=e86692715bef2aad&fccid=69d294dd564bf502&vjs=3,"Buffalo, NY 14260"
54,Quantitative Researcher & Development Associate,https://www.indeed.com/rc/clk?jk=1751b8455bae1972&fccid=db0af0ad6162783b&vjs=3,"New York, NY 10014 (West Village area)"
55,Subject Matter Expert: Django,https://www.indeed.com/rc/clk?jk=cdbd82458ababff4&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State
56,Research Associates,https://www.indeed.com/rc/clk?jk=75304bc19a74f00b&fccid=00ae4e776f21bc2f&vjs=3,"New York, NY 10005 (Financial District area)"
57,Quantitative Researcher (Associate),https://www.indeed.com/rc/clk?jk=cb12194850dd5cde&fccid=4f36cf717ed1367b&vjs=3,"New York, NY 10017 (Midtown area)"
58,QA Engineer,https://www.indeed.com/rc/clk?jk=53b8bc236e977ca8&fccid=521ca7ccc49e32d5&vjs=3,"New York, NY 10010 (Flatiron District area)"
59,Intern - Platform Operations,https://www.indeed.com/rc/clk?jk=2b1fd87b0878e736&fccid=212918c290ce6cf0&vjs=3,New York State
60,Trading Execution Services Specialist,https://www.indeed.com/rc/clk?jk=5e6baf022a96842d&fccid=d2c6abf8a785fc40&vjs=3,"New York, NY 10003 (Flatiron District area)"
61,Software Engineer,https://www.indeed.com/rc/clk?jk=892b58616900769c&fccid=c9b9e477b3c84b4d&vjs=3,"New York, NY"
62,Quantitative Trading Intern (Summer 2021),https://www.indeed.com/rc/clk?jk=8f2e1f71216c3fd4&fccid=aad0a6d052467169&vjs=3,"New York, NY"
63,QUANTITATIVE RESEARCHER,https://www.indeed.com/rc/clk?jk=e25b202b667e5bab&fccid=facc18fe475dac15&vjs=3,"New York, NY"
64,Counterintelligence Analyst,https://www.indeed.com/rc/clk?jk=010e43e966f7a4c0&fccid=31bebfb78bc1f0f1&vjs=3,"Corning, NY 14831"
65,"Software Engineer, Junior",https://www.indeed.com/rc/clk?jk=b57c0863e801533f&fccid=4e041af1d0af1bc8&vjs=3,"New York, NY 10036 (Garment District area)"
66,"C++, Python Engineer",https://www.indeed.com/rc/clk?jk=a81761b5e7892be4&fccid=aaf3b433897ea465&vjs=3,"New York, NY"
67,Technical Lead,https://www.indeed.com/rc/clk?jk=91c637fccd94ebbc&fccid=2c45da85801f6e6e&vjs=3,New York State
68,Healthcare Data Analyst,https://www.indeed.com/rc/clk?jk=228f71a64ca06771&fccid=2c23f29fcd5c78da&vjs=3,"New York, NY"
